id,slug,title,url,http_code,final_url,reason
1279,boot-hub-hard-surface-entry,[ARCHIVE] Boot Hub — Hard Surface Entry (unlinked->private 1279),https://peoplerun.ai/boot-hub-hard-surface-entry/,404,error,
1306,peoplerun-os-canonical-indices-original,[ARCHIVE] PeopleRun OS — Canonical Indices (dup 1306),https://peoplerun.ai/peoplerun-os-canonical-indices-original/,404,error,
1302,peoplerun-os-official-build-plan,PeopleRun OS | Official Build Plan,https://peoplerun.ai/peoplerun-os-official-build-plan/,404,error,
1301,external-commerce-link-payhip-checkout,[ARCHIVE] External Commerce Link — Payhip Checkout (unlinked->private 1301),https://peoplerun.ai/external-commerce-link-payhip-checkout/,404,error,
1298,build-document,Build Document,https://peoplerun.ai/build-document/,404,error,
1291,builddoc-progress-console,BuildDoc Progress Console,https://peoplerun.ai/builddoc-progress-console/,404,error,
1287,1287-2,[ARCHIVE] (blank title) (cleanup->private 1287),https://peoplerun.ai/1287-2/,404,error,
1286,social-surface-core-patch,[ARCHIVE] Social Surface — Core patch (unlinked->private 1286),https://peoplerun.ai/social-surface-core-patch/,404,error,
1285,hard-surface-social-commenting-loop,Hard Surface — Social Commenting Loop,https://peoplerun.ai/hard-surface-social-commenting-loop/,404,error,
1284,governance-execution-map,[ARCHIVE] Governance Execution Map (unlinked->private 1284),https://peoplerun.ai/governance-execution-map/,404,error,
1282,structural-reference-event-signal-log,[ARCHIVE] Structural Reference — Event Signal Log (unlinked->private 1282),https://peoplerun.ai/structural-reference-event-signal-log/,404,error,
1281,social-surface-core,[ARCHIVE] Social Surface — Core (unlinked->private 1281),https://peoplerun.ai/social-surface-core/,404,error,
1278,structural-reference,[ARCHIVE] Structural Reference (unlinked->private 1278),https://peoplerun.ai/structural-reference/,404,error,
1274,hard-surface-idea-pitching,Hard Surface — Idea Pitching,https://peoplerun.ai/hard-surface-idea-pitching/,404,error,
1273,hard-surface-publisher-studio-intelligence-layer-phase-iii,Hard Surface — Publisher Studio Intelligence Layer (Phase III),https://peoplerun.ai/hard-surface-publisher-studio-intelligence-layer-phase-iii/,404,error,
1272,hard-surface-publisher-studio-intelligence-layer-phase-iii-%c2%b7-deterministic-test-vector-%c2%b7-v1-0,[ARCHIVE] Hard Surface — Publisher Studio Intelligence Layer (Phase III) · Deterministic Test Vector · v1.0 (pattern->private 1272),https://peoplerun.ai/hard-surface-publisher-studio-intelligence-layer-phase-iii-%c2%b7-deterministic-test-vector-%c2%b7-v1-0/,404,error,
1271,hard-surface-publisher-studio-intelligence-layer-phase-iii-%c2%b7-implementation-spec-%c2%b7-v1-0,Hard Surface — Publisher Studio Intelligence Layer (Phase III) · Implementation Spec · v1.0,https://peoplerun.ai/hard-surface-publisher-studio-intelligence-layer-phase-iii-%c2%b7-implementation-spec-%c2%b7-v1-0/,404,error,
